"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Переход на главную страницу при нажатии на логотип Самоката","0","Нажатие на логотип Яндекса","1","0","Позитивный сценарий оформления","0"
"0","Полный цикл оформления заказа","0","Заказ через нижнюю кнопку","1","0","Позитивный сценарий оформления","0"
"0","Тесты раздела FAQ","0","Проверка вопросов и ответов","8","0","","0"
"0","Полный цикл оформления заказа","0","Заказ через верхнюю кнопку","1","0","Позитивный сценарий оформления","0"
"0","Переход на главную страницу при нажатии на логотип Самоката","0","Нажатие на логотип Самоката","1","0","Позитивный сценарий оформления","0"
